"counter","unitid","floorplangroup","floorplanid","location","manufacturer","make","model","class","designation","stocknumber","vin","year","age","holdtype","msrp","dsrp","unitstatus","totalcost","nada","ordernumber","basecost","basefreightcost","invoice","consignmentamount","orderdate","receiveddate","userdefinedamt1","percent_gp_of_dsrp","percent_gp_of_unlock","floorprice","product_description","cost_sheet_invoice","invoice_pre_freight","freight","price_protection_rebate","manufacturer_to_dealer_rebate","nada_original","major_unit_header_id","unit_data_source","userdefinedamt2","userdefinedamt3","igh","max_p","max_r","tradedealid","true_total_cost","makeid","productionzone","pp_created_date","single_pp_created_date","dsrp_variance_flag","msrp_variance_flag","sub_location_name","sub_location_id","cmf_id","current_location","repname","repemail","repphone","consignment_total_cost","CodeName"
"2966",NULL,NULL,NULL,"JOR","Jayco","PINNACLE","38KPTS","FW","New","L00094","",2025,46005,"","146461.00","109995.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","109895.00","1.000","1.000","0.00","Jayco PINNACLE 38KPTS","-186.06","0.00","-186.06","0.00","0.00","0.00",250075346,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"2947",NULL,NULL,NULL,"JOR","Jayco","NORTH POINT","382FLRB","FW","New","L00087","",2025,46005,"","148411.00","112495.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","112395.00","1.000","1.000","0.00","Jayco NORTH POINT 382FLRB","-186.06","0.00","-186.06","0.00","0.00","0.00",250074016,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"2082",NULL,NULL,NULL,"JOR","Jayco","PINNACLE","38FBRK","FW","New","L00092","",2025,46005,"","151111.00","113995.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","113895.00","1.000","1.000","0.00","Jayco PINNACLE 38FBRK","-186.06","0.00","-186.06","0.00","0.00","0.00",250075344,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"3133",NULL,NULL,NULL,"JOR","Jayco","PINNACLE","38FLGS","FW","New","L00093","",2025,46005,"","160786.00","122495.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","121995.00","1.000","1.000","0.00","Jayco PINNACLE 38FLGS","-186.06","0.00","-186.06","0.00","0.00","0.00",250075345,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"2989",NULL,NULL,NULL,"JOR","Jayco","NORTH POINT","365RKTS","FW","New","L00084","",2025,46005,"","136936.00","100995.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","0.00","1.000",NULL,"0.00","Jayco NORTH POINT 365RKTS","-186.06","0.00","-186.06","0.00","0.00","0.00",250073987,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"2954",NULL,NULL,NULL,"JOR","Jayco","NORTH POINT","377RLBH","FW","New","L00085","",2025,46005,"","140551.00","105495.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","105395.00","1.000","1.000","0.00","Jayco NORTH POINT 377RLBH","-186.06","0.00","-186.06","0.00","0.00","0.00",250073999,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"2965",NULL,NULL,NULL,"JOR","Jayco","NORTH POINT","390CKDS","FW","New","L00089","",2025,46005,"","147518.00","111495.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","111395.00","1.000","1.000","0.00","Jayco NORTH POINT 390CKDS","-186.06","0.00","-186.06","0.00","0.00","0.00",250074034,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"3188",NULL,NULL,NULL,"JOR","Jayco","PINNACLE","32RLTS","FW","New","L00090","",2025,46005,"","143186.00","106995.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","106895.00","1.000","1.000","0.00","Jayco PINNACLE 32RLTS","-186.06","0.00","-186.06","0.00","0.00","0.00",250075342,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"2986",NULL,NULL,NULL,"JOR","Jayco","NORTH POINT","310RLTS","FW","New","L00082","",2025,46005,"","129668.00","96495.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","96395.00","1.000","1.000","0.00","Jayco NORTH POINT 310RLTS","-186.06","0.00","-186.06","0.00","0.00","0.00",250073966,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"2974",NULL,NULL,NULL,"JOR","Jayco","PINNACLE","36FBTS","FW","New","L00091","",2025,46005,"","146918.00","110495.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","110395.00","1.000","1.000","0.00","Jayco PINNACLE 36FBTS","-186.06","0.00","-186.06","0.00","0.00","0.00",250075343,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
